Name;Required;Set;AmigaOsVersion;KickstartVersionRequired;Model;Md5Hash;VolumeName;Filename;CopyFile;InstallAmigaOsPrefs;Comment
Amiga OS 3.1.4.1 Update Disk;False;Amiga OS 3.1.4;3.1.4;3.1;;62e7580b5f0c20e2162029fcd4783aaa;Update3.1.4.1;amiga-os-3141-update.adf;True;Amiga-OS-314-ADF;Hyperion Entertainment
Amiga OS 3.1.4 Icon Pack File;False;Amiga OS 3.1.4;3.1.4;3.1;;b1a7c9007fced12043b6d70848a3782b;;amiga-os-314-iconpack.lha;True;Amiga-OS-314-ADF;Hyperion Entertainment

Amiga OS 3.1 Extras Disk;True;Amiga OS 3.1;3.1;3.1;;c1c673eba985e9ab0888c5762cfa3d8f;Extras3.1;amiga-os-310-extras.adf;True;Amiga-OS-310-ADF;Cloanto Amiga Forever 2016, 7, 9
Amiga OS 3.1 Fonts Disk;True;Amiga OS 3.1;3.1;3.1;;6fae8b94bde75497021a044bdbf51abc;Fonts;amiga-os-310-fonts.adf;True;Amiga-OS-310-ADF;Cloanto Amiga Forever 2016, 7, 9
Amiga OS 3.1 Install Disk;True;Amiga OS 3.1;3.1;3.1;;d6aa4537586bf3f2687f30f8d3099c99;Install3.1;amiga-os-310-install.adf;True;Amiga-OS-310-ADF;Cloanto Amiga Forever 2016, 7
Amiga OS 3.1 Install Disk;True;Amiga OS 3.1;3.1;3.1;;c5be06daf40d4c3ace4eac874d9b48b1;Install3.1;amiga-os-310-install.adf;True;Amiga-OS-310-ADF;Cloanto Amiga Forever 7, 9
Amiga OS 3.1 Locale Disk;True;Amiga OS 3.1;3.1;3.1;;b53c9ff336e168643b10c4a9cfff4276;Locale;amiga-os-310-locale.adf;True;Amiga-OS-310-ADF;Cloanto Amiga Forever 2016, 7, 9
Amiga OS 3.1 Storage Disk;True;Amiga OS 3.1;3.1;3.1;;4fa1401aeb814d3ed138f93c54a5caef;Storage3.1;amiga-os-310-storage.adf;True;Amiga-OS-310-ADF;Cloanto Amiga Forever 2016, 7, 9
Amiga OS 3.1 Workbench Disk;True;Amiga OS 3.1;3.1;3.1;;590c42a69675d6970df350e200fe25dc;Workbench3.1;amiga-os-310-workbench.adf;True;Amiga-OS-310-ADF;Cloanto Amiga Forever 2016, 7
Amiga OS 3.1 Workbench Disk;True;Amiga OS 3.1;3.1;3.1;;e7b3a83df665a85e7ec27306a152b171;Workbench3.1;amiga-os-310-workbench.adf;True;Amiga-OS-310-ADF;Cloanto Amiga Forever 7, 9
